"return_id","return_type","market","partner","logistics_provider","owner","status","created_date","due_date","last_update_date","closed_date","item_description","quantity","value_eur","currency","delay_reason","notes","source_label"
"DXR-2027","Service part","Denmark","Copenhagen Imaging","Alpine Freight AG","Freja Hansen","Received","2026-05-27","2026-05-27","2026-07-01","","Detector calibration kit","3","21006","EUR","Border processing","Synthetic record: border processing noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2028","Finished device","Ireland","Dublin Care IE","TransLine Europe","Niamh Byrne","Return authorized","2026-05-16","2026-05-11","2026-06-28","","Telemetry station","4","25437","EUR","Missing local approval","Synthetic record: missing local approval noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2029","Service part","Switzerland","Swiss Imaging AG","NorthSea Freight","Lena Meier","Awaiting market action","2026-05-05","2026-05-29","2026-06-25","","MRI RF coil","5","24268","EUR","Missing due date","Synthetic record: missing due date noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2030","Service part","Portugal","Lisbon Diagnostics","EuroRoute Logistics","Ines Silva","Inspection pending","2026-04-24","2026-05-13","2026-06-22","","Power distribution board","6","25899","EUR","Normal processing","Synthetic record: normal processing noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2031","Finished device","Norway","Oslo Care NO","MedMove Logistics","Kari Olsen","Customs hold","2026-04-13","2026-04-27","2026-07-07","","Patient monitor unit","1","23130","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2032","Service part","Finland","Helsinki Imaging","BritShip Medical","Aino Virtanen","In transit","2026-06-25","2026-07-04","2026-07-04","","Ultrasound probe assembly","2","21961","EUR","Normal transit","Synthetic record: normal transit noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2033","Service part","Germany","MedServ DE","NordicRoute AB","Anna Keller","Pickup pending","2026-06-14","2026-06-18","2026-07-01","","MRI cooling pump","3","23592","EUR","Missing export document","Synthetic record: missing export document noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2034","Finished device","Netherlands","Hospital Partner NL","EastMed Transport","Joost Vermeer","Closed","2026-06-03","2026-06-02","2026-06-28","2026-06-02","Respiratory monitor","4","28023","EUR","Inspection queue","Synthetic record: inspection queue noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2035","Service part","France","BioClinique FR","Atlantic MedFreight","Claire Martin","Received","2026-05-23","2026-06-20","2026-06-25","","Image reconstruction board","5","26854","EUR","Inspection backlog","Synthetic record: inspection backlog noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2036","Service part","Spain","Iberia Health","Alpine Freight AG","Marta Ruiz","Return authorized","2026-05-12","2026-06-04","2026-06-22","","Gradient amplifier card","6","28485","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2037","Finished device","Italy","Clinica Nord IT","TransLine Europe","Luca Romano","Awaiting market action","2026-05-01","2026-05-19","2026-07-07","","Patient telemetry receiver","1","25716","EUR","Pickup missed","Synthetic record: pickup missed noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2038","Service part","United Kingdom","NHS Trust Demo","NorthSea Freight","Sarah Collins","Inspection pending","2026-04-20","","2026-07-04","","CT collimator module","2","24547","EUR","Missing due date","Synthetic record: missing due date noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2039","Service part","Sweden","Nordic Care SE","EuroRoute Logistics","Erik Lind","Customs hold","2026-04-09","2026-04-17","2026-07-01","","MRI RF coil","3","26178","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2040","Finished device","Belgium","BeLux Diagnostics","MedMove Logistics","Marie Dubois","In transit","2026-06-21","2026-06-24","2026-06-28","","Vital signs monitor","4","30609","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2041","Service part","Austria","Alpen Klinik AT","BritShip Medical","Thomas Gruber","Pickup pending","2026-06-10","2026-06-08","2026-06-25","","X-ray detector module","5","29440","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2042","Service part","Poland","Warsaw Health PL","NordicRoute AB","Piotr Nowak","Closed","2026-05-30","2026-06-26","2026-06-22","2026-06-26","Ultrasound probe assembly","6","31071","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2043","Finished device","Denmark","Copenhagen Imaging","EastMed Transport","Freja Hansen","Received","2026-05-19","2026-06-10","2026-07-07","","Portable ultrasound unit","1","28302","EUR","Disposition pending","Synthetic record: disposition pending noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2044","Service part","Ireland","Dublin Care IE","Atlantic MedFreight","Niamh Byrne","Return authorized","2026-05-08","2026-05-25","2026-07-04","","CT gantry sensor","2","27133","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2045","Service part","Switzerland","Swiss Imaging AG","Alpine Freight AG","Lena Meier","Awaiting market action","2026-04-27","2026-05-09","2026-07-01","","Image reconstruction board","3","28764","EUR","Border processing","Synthetic record: border processing noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2046","Finished device","Portugal","Lisbon Diagnostics","TransLine Europe","Ines Silva","Inspection pending","2026-04-16","2026-04-23","2026-06-28","","Emergency care display","4","33195","EUR","Missing local approval","Synthetic record: missing local approval noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2047","Service part","Norway","Oslo Care NO","NorthSea Freight","Kari Olsen","Customs hold","2026-06-28","2026-06-30","2026-06-25","","Detector calibration kit","5","32026","EUR","Missing due date","Synthetic record: missing due date noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2048","Service part","Finland","Helsinki Imaging","EuroRoute Logistics","Aino Virtanen","In transit","2026-06-17","2026-06-14","2026-06-22","","CT collimator module","6","33657","EUR","Normal processing","Synthetic record: normal processing noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2049","Finished device","Germany","MedServ DE","MedMove Logistics","Anna Keller","Pickup pending","2026-06-06","2026-07-02","2026-07-07","","Anesthesia workstation","1","30888","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2050","Service part","Netherlands","Hospital Partner NL","BritShip Medical","Joost Vermeer","Closed","2026-05-26","2026-06-16","2026-07-04","2026-06-16","Power distribution board","2","29719","EUR","Normal transit","Synthetic record: normal transit noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2051","Service part","France","BioClinique FR","NordicRoute AB","Claire Martin","Received","2026-05-15","2026-05-31","2026-07-01","","X-ray detector module","3","31350","EUR","Missing export document","Synthetic record: missing export document noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2052","Finished device","Spain","Iberia Health","EastMed Transport","Marta Ruiz","Return authorized","2026-05-04","2026-05-15","2026-06-28","","Defibrillator system","4","35781","EUR","Inspection queue","Synthetic record: inspection queue noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2053","Service part","Italy","Clinica Nord IT","Atlantic MedFreight","Luca Romano","Awaiting market action","2026-04-23","2026-04-29","2026-06-25","","MRI cooling pump","5","34612","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2054","Service part","United Kingdom","NHS Trust Demo","Alpine Freight AG","Sarah Collins","Inspection pending","2026-04-12","2026-04-13","2026-06-22","","CT gantry sensor","6","36243","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2055","Finished device","Sweden","Nordic Care SE","TransLine Europe","Erik Lind","Customs hold","2026-06-24","2026-06-20","2026-07-07","","Mobile C-arm","1","33474","EUR","Pickup missed","Synthetic record: pickup missed noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2056","Service part","Belgium","BeLux Diagnostics","NorthSea Freight","Marie Dubois","In transit","2026-06-13","2026-07-08","2026-07-04","","Gradient amplifier card","2","32305","EUR","Customer site access","Synthetic record: customer site access noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2057","Service part","Austria","Alpen Klinik AT","EuroRoute Logistics","Thomas Gruber","Pickup pending","2026-06-02","2026-06-22","2026-07-01","","Detector calibration kit","3","33936","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2058","Finished device","Poland","Warsaw Health PL","MedMove Logistics","Piotr Nowak","Closed","2026-05-22","2026-06-06","2026-06-28","2026-06-06","Telemetry station","4","38367","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2059","Service part","Denmark","Copenhagen Imaging","BritShip Medical","Freja Hansen","Received","2026-05-11","2026-05-21","2026-06-25","","MRI RF coil","5","37198","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2060","Service part","Ireland","Dublin Care IE","NordicRoute AB","Niamh Byrne","Return authorized","2026-04-30","2026-05-05","2026-06-22","","Power distribution board","6","38829","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2061","Finished device","Switzerland","Swiss Imaging AG","EastMed Transport","Lena Meier","Awaiting market action","2026-04-19","2026-04-19","2026-07-07","","Patient monitor unit","1","36060","EUR","Disposition pending","Synthetic record: disposition pending noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2062","Service part","Portugal","Lisbon Diagnostics","Atlantic MedFreight","Ines Silva","Inspection pending","2026-04-08","2026-04-03","2026-07-04","","Ultrasound probe assembly","2","34891","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2063","Service part","Norway","Oslo Care NO","Alpine Freight AG","Kari Olsen","Customs hold","2026-06-20","2026-07-14","2026-07-01","","MRI cooling pump","3","36522","EUR","Border processing","Synthetic record: border processing noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2064","Finished device","Finland","Helsinki Imaging","TransLine Europe","Aino Virtanen","In transit","2026-06-09","2026-06-28","2026-06-28","","Respiratory monitor","4","40953","EUR","Missing local approval","Synthetic record: missing local approval noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2065","Service part","Germany","MedServ DE","NorthSea Freight","Anna Keller","Pickup pending","2026-05-29","2026-06-12","2026-06-25","","Image reconstruction board","5","39784","EUR","Missing due date","Synthetic record: missing due date noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2066","Service part","Netherlands","Hospital Partner NL","EuroRoute Logistics","Joost Vermeer","Closed","2026-05-18","2026-05-27","2026-06-22","2026-05-27","Gradient amplifier card","6","41415","EUR","Normal processing","Synthetic record: normal processing noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2067","Finished device","France","BioClinique FR","MedMove Logistics","Claire Martin","Received","2026-05-07","2026-05-11","2026-07-07","","Patient telemetry receiver","1","38646","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2068","Service part","Spain","Iberia Health","BritShip Medical","Marta Ruiz","Return authorized","2026-04-26","2026-04-25","2026-07-04","","CT collimator module","2","37477","EUR","Normal transit","Synthetic record: normal transit noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2069","Service part","Italy","Clinica Nord IT","NordicRoute AB","Luca Romano","Awaiting market action","2026-04-15","2026-05-13","2026-07-01","","MRI RF coil","3","39108","EUR","Missing export document","Synthetic record: missing export document noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2070","Finished device","United Kingdom","NHS Trust Demo","EastMed Transport","Sarah Collins","Inspection pending","2026-06-27","2026-07-20","2026-06-28","","Vital signs monitor","4","43539","EUR","Inspection queue","Synthetic record: inspection queue noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2071","Service part","Sweden","Nordic Care SE","Atlantic MedFreight","Erik Lind","Customs hold","2026-06-16","2026-07-04","2026-06-25","","X-ray detector module","5","42370","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2072","Service part","Belgium","BeLux Diagnostics","Alpine Freight AG","Marie Dubois","In transit","2026-06-05","2026-06-18","2026-06-22","","Ultrasound probe assembly","6","44001","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2073","Finished device","Austria","Alpen Klinik AT","TransLine Europe","Thomas Gruber","Pickup pending","2026-05-25","2026-06-02","2026-07-07","","Portable ultrasound unit","1","41232","EUR","Pickup missed","Synthetic record: pickup missed noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2074","Service part","Poland","Warsaw Health PL","NorthSea Freight","Piotr Nowak","Closed","2026-05-14","2026-05-17","2026-07-04","2026-05-17","CT gantry sensor","2","40063","EUR","Customer site access","Synthetic record: customer site access noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2075","Service part","Denmark","Copenhagen Imaging","EuroRoute Logistics","Freja Hansen","Received","2026-05-03","","2026-07-01","","Image reconstruction board","3","41694","EUR","Missing due date","Synthetic record: missing due date noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
